trial,year,Intervention,control,event.e,noevent.e,n.e,event.c,noevent.c,n.c,observational,leafy_green
AUTHOR1,"1984, 1985",Wash,Placebo,14,92,106,14,86,100,0,1
AUTHOR2,"1984, 1985",Wash,Placebo,18,87,105,14,86,100,0,1
AUTHOR3,1993,Wash,Placebo,17,67,84,25,16,41,0,0
AUTHOR4,Not reported,Wash,Placebo,3,140,143,4,42,46,0,0
AUTHOR5,Not reported,Wash,Placebo,5,137,142,4,42,46,0,0
AUTHOR6,Not reported,Wash,Placebo,5,128,133,4,42,46,0,0
AUTHOR7,Not reported,Wash,Placebo,32,69,101,45,6,51,1,1
AUTHOR8,Not reported,Wash,Placebo,12,90,102,43,7,50,1,1
AUTHOR9,Not reported,Wash,Placebo,16,37,53,22,29,53,1,1
AUTHOR10,Not reported,Wash,Placebo,16,38,54,24,29,53,1,1
AUTHOR11,Not reported,Wash,Placebo,20,80,100,47,3,50,1,1
AUTHOR12,Not reported,Wash,Placebo,7,91,98,32,17,49,1,1
AUTHOR13,Not reported,Wash,Placebo,25,75,100,35,15,50,1,1
AUTHOR14,Not reported,Wash,Placebo,43,57,100,38,12,50,1,1
AUTHOR15,Not reported,Wash,Placebo,18,194,212,27,81,108,1,1
AUTHOR16,Not reported,Wash,Placebo,129,138,267,128,135,263,1,1
AUTHOR17,Not reported,Wash,Placebo,148,396,544,171,365,536,1,1
AUTHOR18,Not reported,Wash,Placebo,23,57,80,36,44,80,1,1
AUTHOR19,Not reported,Wash,Placebo,18,61,79,20,57,77,1,1
AUTHOR20,Not reported,Wash,Placebo,9,71,80,17,63,80,1,1
AUTHOR21,Not reported,Wash,Placebo,19,61,80,37,43,80,1,1
AUTHOR22,Not reported,Wash,Placebo,3,14,17,3,7,10,0,1
AUTHOR23,Not reported,Wash,Placebo,2,17,19,3,7,10,0,1
AUTHOR24,Not reported,Wash,Placebo,2,14,14,3,11,14,0,1
AUTHOR25,Not reported,Wash,Placebo,3,14,14,3,11,14,0,1
AUTHOR26,Not reported,Wash,Placebo,4,14,14,3,11,14,0,1
