trial,Intervention,control,event.e,noevent.e,n.e,event.c,noevent.c,n.c,observational,leafy_green
1,Wash,No Treatment,20,80,100,43,7,50,1,0
2,Wash,No Treatment,40,60,100,32,17,49,1,0
3,Wash,No Treatment,25,75,100,35,15,50,0,1
4,Wash,No Treatment,43,57,100,38,12,50,0,1
5,Wash,No Treatment,28,72,100,51,1,52,1,1
6,Wash,No Treatment,33,69,102,44,7,51,0,1
7,Wash,No Treatment,32,69,101,45,6,51,1,0
8,Wash,No Treatment,12,90,102,43,7,50,0,1
9,Wash,No Treatment,16,37,53,24,29,53,0,0
10,Wash,No Treatment,16,38,54,24,29,53,0,0
11,Wash,No Treatment,20,80,100,47,3,50,1,1
12,Wash,No Treatment,25,75,100,35,15,50,1,1
13,Wash,No Treatment,43,57,100,38,12,50,0,0
