trial,author,year,Intervention,control,event.e,noevent.e,n.e,event.c,noevent.c,n.c,observational,leafy_green
1,AUTHOR-1,Not reported,Wash,No treatment,5,80,85,3,80,83,0,3
2,AUTHOR-2,Not reported,Wash,No treatment,7,91,98,4,100,104,0,3
3,AUTHOR-3,Not reported,Wash,No treatment,10,75,85,9,75,84,0,3
4,AUTHOR-4,Not reported,Wash,No treatment,3,57,60,3,57,60,0,3
5,AUTHOR-5,Not reported,Wash,No treatment,6,90,96,7,90,97,0,3
6,AUTHOR-6,Not reported,Wash,No treatment,1,8,9,2,8,10,1,1
7,AUTHOR-7,Not reported,Wash,No treatment,1,10,11,2,10,12,1,3
8,AUTHOR-8,Not reported,Wash,No treatment,12,80,92,7,80,87,1,3
9,AUTHOR-9,Not reported,Wash,No treatment,7,91,98,10,91,101,1,3
10,AUTHOR-10,Not reported,Wash,No treatment,9,75,84,4,80,84,1,3
11,AUTHOR-11,Not reported,Wash,No treatment,3,14,17,7,14,21,1,1
12,AUTHOR-12,Not reported,Wash,No treatment,2,17,19,7,17,24,0,1
13,AUTHOR-13,Not reported,Wash,No treatment,3,60,63,5,60,65,0,3
14,AUTHOR-14,Not reported,Wash,No treatment,5,7,12,3,10,13,0,1
15,AUTHOR-15,Not reported,Wash,No treatment,8,72,80,1,72,73,0,3
16,AUTHOR-16,Not reported,Wash,No treatment,4,69,73,7,70,77,0,3
17,AUTHOR-17,Not reported,Wash,No treatment,5,69,74,6,75,81,0,3
