trial,Intervention,control,event.e,noevent.e,n.e,event.c,noevent.c,n.c,observational,leafy_green,OR
1,Wash,No Treatment,14,90,104,50,50,100,1,0,0.155555556
2,Wash,No Treatment,17,90,107,50,50,100,1,0,0.188888889
3,Wash,No Treatment,10,90,100,50,50,100,0,1,0.111111111
4,Wash,No Treatment,19,90,109,50,50,100,0,1,0.211111111
5,Wash,No Treatment,21,90,111,50,50,100,1,1,0.233333333
6,Wash,No Treatment,10,90,100,50,50,100,0,1,0.111111111
7,Wash,No Treatment,16,90,106,50,50,100,1,0,0.177777778
8,Wash,No Treatment,18,90,108,50,50,100,0,1,0.2
9,Wash,No Treatment,10,90,100,50,50,100,0,0,0.111111111
10,Wash,No Treatment,20,90,110,50,50,100,0,0,0.222222222
11,Wash,No Treatment,20,90,110,50,50,100,1,1,0.222222222
12,Wash,No Treatment,20,90,110,50,50,100,1,1,0.222222222
13,Wash,No Treatment,17,90,107,50,50,100,0,0,0.188888889
