trial,experimental,control,event.e,noevent.e,n.e,event.c,noevent.c,n.c,blinding,randomization,metaphaylasis,OR
1,DRUGA,No Treatment,14,90,104,50,50,100,1,0,1,0.155555556
2,DRUGA,No Treatment,17,90,107,50,50,100,1,0,1,0.188888889
3,DRUGA,No Treatment,10,90,100,50,50,100,0,1,0,0.111111111
4,DRUGA,No Treatment,19,90,109,50,50,100,0,1,1,0.211111111
5,DRUGA,No Treatment,21,90,111,50,50,100,1,1,1,0.233333333
6,DRUGA,No Treatment,100,900,1000,500,500,1000,0,1,1,0.111111111
7,DRUGA,No Treatment,16,90,106,50,50,100,1,0,0,0.177777778
8,DRUGA,No Treatment,18,90,108,50,50,100,0,1,0,0.2
9,DRUGA,No Treatment,100,900,1000,500,500,1000,0,0,0,0.111111111
10,DRUGA,No Treatment,2,9,11,5,5,10,0,0,1,0.222222222
11,DRUGA,No Treatment,20,90,110,50,50,100,1,1,1,0.222222222
12,DRUGA,No Treatment,20,90,110,50,50,100,1,1,0,0.222222222
13,DRUGA,No Treatment,17,90,107,50,50,100,0,0,1,0.188888889
