trial,author,year,experimental,control,year,event.e,n.e,event.c,n.c,blinding,randomization,metaphylaxis,days,RR
1,Author-1,Not reported,DRUG A,No treatment,,1,10,5,10,1,1,0,3,0.2
2,Author-2,Not reported,DRUG A,No treatment,,23,91,37,100,1,1,0,3,0.683100683
3,Author-3,Not reported,DRUG A,No treatment,,10,75,9,75,1,1,0,3,1.111111111
4,Author-4,Not reported,DRUG A,No treatment,,3,20,3,57,1,1,0,3,2.85
5,Author-5,Not reported,DRUG A,No treatment,,23,90,35,90,1,1,0,3,0.657142857
6,Author-6,Not reported,DRUG A,No treatment,,1,8,2,8,1,0,0,1,0.5
7,Author-7,Not reported,DRUG A,No treatment,,1,10,2,10,1,0,0,3,0.5
8,Author-8,Not reported,DRUG A,No treatment,,17,80,20,80,1,0,0,3,0.85
9,Author-9,Not reported,DRUG A,No treatment,,18,91,21,91,1,0,0,3,0.857142857
10,Author-10,Not reported,DRUG A,No treatment,,3,15,12,17,1,0,0,3,0.283333333
11,Author-11,Not reported,DRUG A,No treatment,,2,10,7,8,0,0,0,1,0.228571429
12,Author-12,Not reported,DRUG A,No treatment,,2,17,7,17,0,1,0,1,0.285714286
13,Author-13,Not reported,DRUG A,No treatment,,3,60,5,60,1,1,0,3,0.6
14,Author-14,Not reported,DRUG A,No treatment,,2,7,5,10,1,1,0,1,0.571428571
15,Author-15,Not reported,DRUG A,No treatment,,1,15,8,15,1,1,0,3,0.125
16,Author-16,Not reported,DRUG A,No treatment,,17,69,22,70,1,1,0,3,0.783926219
17,Author-17,Not reported,DRUG A,No treatment,,5,69,6,75,1,0,0,3,0.905797101
